  100    0 4.600000000E+09
 1006    0    0    0    0    0    0    0    0
 1.694733895E+02 1.699732790E+02 1.704731947E+02 1.709705748E+02 1.714608725E+02
 1.719448602E+02 1.724231898E+02 1.729732728E+02 1.734732637E+02 1.739736091E+02
 1.744328431E+02 1.749733880E+02 1.754250402E+02 1.759733955E+02 1.764732902E+02
 1.769732950E+02 1.774733009E+02 1.779733085E+02 1.784733181E+02 1.789733296E+02
 1.794733307E+02 1.799731699E+02 1.804731338E+02 1.809730740E+02 1.814729709E+02
 1.819727874E+02 1.824724559E+02 1.829721201E+02 1.834709386E+02 1.839473821E+02
 1.844558277E+02 1.847825562E+02 1.853134823E+02 1.858126027E+02 1.863128812E+02
 1.868124081E+02 1.873143133E+02 1.877974637E+02 1.882659033E+02 1.888120199E+02
 1.893122992E+02 1.898122311E+02 1.903121657E+02 1.908121074E+02 1.913120577E+02
 1.918120163E+02 1.923119821E+02 1.928119540E+02 1.933118741E+02 1.938119131E+02
 1.943118982E+02 1.948118859E+02 1.953118757E+02 1.958118659E+02 1.963118562E+02
 1.968118405E+02 1.973118128E+02 1.978117890E+02 1.983117684E+02 1.988118118E+02
 1.993117360E+02 1.998117246E+02 2.003117153E+02 2.008117077E+02 2.013117016E+02
 2.018116969E+02 2.023116933E+02 2.028116907E+02 2.033116888E+02 2.038118465E+02
 2.043118528E+02 2.047821851E+02 2.053116911E+02 2.058116838E+02 2.063116827E+02
 2.068116818E+02 2.073112483E+02 2.078112480E+02 2.083112490E+02 2.088116812E+02
 2.093116816E+02 2.098116824E+02 2.103116834E+02 2.108118466E+02 2.113117008E+02
 2.118116914E+02 2.123118325E+02 2.128116977E+02 2.133117004E+02 2.138113360E+02
 2.143113458E+02 2.148113558E+02 2.153113658E+02 2.158113758E+02 2.163117170E+02
 2.168117198E+02 2.173118491E+02 2.178115602E+02 2.183114215E+02 2.188114300E+02
 2.193117321E+02 2.198117347E+02 2.203118551E+02 2.208117384E+02 2.213117394E+02
 2.218117406E+02 2.223117419E+02 2.228117435E+02 2.233117453E+02 2.237975852E+02
 2.243117521E+02 2.248117546E+02 2.253117581E+02 2.258117617E+02 2.263117653E+02
 2.268117688E+02 2.273117724E+02 2.278117761E+02 2.283118527E+02 2.288116104E+02
 2.293117843E+02 2.298117863E+02 2.303118375E+02 2.308117899E+02 2.313117916E+02
 2.318117935E+02 2.323117954E+02 2.328117976E+02 2.333117999E+02 2.338118023E+02
 2.343118050E+02 2.348118078E+02 2.353118108E+02 2.358118140E+02 2.363118548E+02
 2.368118474E+02 2.373118242E+02 2.378117647E+02 2.383117747E+02 2.388117844E+02
 2.393117938E+02 2.398118030E+02 2.403118120E+02 2.408118208E+02 2.413118296E+02
 2.418118498E+02 2.423118524E+02 2.428118550E+02 2.433118574E+02 2.438118602E+02
 2.443118572E+02 2.448118823E+02 2.453119025E+02 2.458119127E+02 2.463119231E+02
 2.468119334E+02 2.473119438E+02 2.478119541E+02 2.483118873E+02 2.488118903E+02
 2.493118933E+02 2.498119948E+02 2.503120045E+02 2.508120141E+02 2.513120235E+02
 2.518119078E+02 2.523119106E+02 2.528119132E+02 2.533120599E+02 2.538120688E+02
 2.543120776E+02 2.548119238E+02 2.553119264E+02 2.558119290E+02 2.563121128E+02
 2.568121214E+02 2.573121300E+02 2.578121384E+02 2.583121466E+02 2.588121547E+02
 2.593121625E+02 2.598119486E+02 2.603119508E+02 2.608119527E+02 2.613119547E+02
 2.618119565E+02 2.623119582E+02 2.628122083E+02 2.633122137E+02 2.638122191E+02
 2.643122242E+02 2.648122290E+02 2.653122336E+02 2.658122379E+02 2.663122419E+02
 2.668122456E+02 2.673122490E+02 2.678119726E+02 2.683118733E+02 2.688120157E+02
 2.693128299E+02 2.698128299E+02 2.703128301E+02 2.708128291E+02 2.713128268E+02
 2.718122572E+02 2.723122558E+02 2.728122536E+02 2.733122507E+02 2.738122471E+02
 2.743122429E+02 2.748119685E+02 2.753119668E+02 2.758119649E+02 2.763118724E+02
 2.768122093E+02 2.773121995E+02 2.778121889E+02 2.783121772E+02 2.788121643E+02
 2.793121503E+02 2.798121351E+02 2.803121185E+02 2.808121006E+02 2.813120813E+02
 2.818120603E+02 2.823120378E+02 2.828119050E+02 2.833118976E+02 2.838118608E+02
 2.843119289E+02 2.848118966E+02 2.853118620E+02 2.858118251E+02 2.863117857E+02
