    4    0 4.500000000E+09
  330    0    0    0    0    0    0    0    0
 1.002286718E+00 1.000298330E+00 9.982877332E-01 9.962555391E-01 9.942322124E-01
 9.922166985E-01 9.902115179E-01 9.882191128E-01 9.862399829E-01 9.842753350E-01
 9.823247665E-01 9.803883571E-01 9.784671129E-01 9.765607397E-01 9.746680257E-01
 9.727896707E-01 9.709256330E-01 9.692464111E-01 9.672406933E-01 9.654199547E-01
 9.636135929E-01 9.618213941E-01 9.600436872E-01 9.582800069E-01 9.565301409E-01
 9.547940433E-01 9.530715330E-01 9.513626162E-01 9.496669962E-01 9.479845330E-01
 9.464595240E-01 9.446583751E-01 9.430141244E-01 9.413822268E-01 9.397624680E-01
 9.382935202E-01 9.365584867E-01 9.349739189E-01 9.334008296E-01 9.318388026E-01
 9.302880751E-01 9.287482116E-01 9.272191135E-01 9.257004163E-01 9.241921319E-01
 9.226949031E-01 9.212073735E-01 9.197299413E-01 9.182623455E-01 9.168046716E-01
 9.153566343E-01 9.139183887E-01 9.124896393E-01 9.110704959E-01 9.096608274E-01
 9.082607514E-01 9.068687156E-01 9.054879424E-01 9.041154587E-01 9.027523366E-01
 9.013968391E-01 9.000527423E-01 8.987166800E-01 8.973900399E-01 8.960709915E-01
 8.947631633E-01 8.934636380E-01 8.921729898E-01 8.908907453E-01 8.896201669E-01
 8.883574060E-01 8.871035095E-01 8.858580128E-01 8.846244898E-01 8.833991662E-01
 8.821811017E-01 8.809735135E-01 8.797775579E-01 8.785898917E-01 8.774090108E-01
 8.762419193E-01 8.750827690E-01 8.739340160E-01 8.727927616E-01 8.716649965E-01
 8.705459058E-01 8.694363929E-01 8.683361858E-01 8.672499057E-01 8.661724070E-01
 8.651025399E-01 8.640446959E-01 8.630001419E-01 8.619642733E-01 8.609358816E-01
 8.599230241E-01 8.589184865E-01 8.579237738E-01 8.569389315E-01 8.559685966E-01
 8.550183893E-01 8.540527261E-01 8.531142143E-01 8.521838626E-01 8.512630835E-01
 8.503521375E-01 8.494552765E-01 8.486004792E-01 8.476871187E-01 8.468180985E-01
 8.459585982E-01 8.451544582E-01 8.442676445E-01 8.434354589E-01 8.426659266E-01
 8.417961178E-01 8.409884832E-01 8.401878490E-01 8.393942423E-01 8.386042530E-01
 8.378238402E-01 8.370464636E-01 8.362721907E-01 8.355019783E-01 8.347364976E-01
 8.339715324E-01 8.332057670E-01 8.324417260E-01 8.316779485E-01 8.309110924E-01
 8.301405857E-01 8.293672072E-01 8.285895904E-01 8.278050670E-01 8.270139866E-01
 8.262147201E-01 8.254063783E-01 8.245882566E-01 8.237596055E-01 8.229194110E-01
 8.220674540E-01 8.212034635E-01 8.203260016E-01 8.194347977E-01 8.185283804E-01
 8.176088686E-01 8.166742901E-01 8.157222673E-01 8.147557730E-01 8.137732632E-01
 8.127767336E-01 8.117628957E-01 8.107329277E-01 8.096851412E-01 8.086235573E-01
 8.075492156E-01 8.064548651E-01 8.053476687E-01 8.042258789E-01 8.030888807E-01
 8.019379201E-01 8.007754750E-01 7.995970410E-01 7.984053960E-01 7.971984892E-01
 7.959814969E-01 7.947527425E-01 7.935136656E-01 7.922611852E-01 7.909976258E-01
