  100    0 4.600000000E+09
  875    0    0    0    0    0    0    0    0
 1.700457808E+02 1.705464576E+02 1.710464634E+02 1.715464699E+02 1.720464764E+02
 1.725464829E+02 1.730457666E+02 1.735455250E+02 1.740457780E+02 1.745457679E+02
 1.750460486E+02 1.755465276E+02 1.760465403E+02 1.765465532E+02 1.770457800E+02
 1.775455712E+02 1.780458575E+02 1.785466024E+02 1.790466126E+02 1.795466229E+02
 1.800466325E+02 1.805466415E+02 1.810457952E+02 1.815455251E+02 1.820463665E+02
 1.825466709E+02 1.830466764E+02 1.835466816E+02 1.840466862E+02 1.845466901E+02
 1.850457983E+02 1.855455818E+02 1.860466959E+02 1.865466944E+02 1.870466941E+02
 1.875466936E+02 1.880466932E+02 1.885457905E+02 1.890457888E+02 1.895459565E+02
 1.900466955E+02 1.905457861E+02 1.909958902E+02 1.915466593E+02 1.920467142E+02
 1.925457861E+02 1.930455857E+02 1.935459989E+02 1.940467398E+02 1.945467439E+02
 1.950467483E+02 1.955467519E+02 1.960467548E+02 1.965467569E+02 1.970467584E+02
 1.975467591E+02 1.980467591E+02 1.985467584E+02 1.990467572E+02 1.995467554E+02
 2.000457717E+02 2.005455103E+02 2.010464844E+02 2.015467414E+02 2.020467360E+02
 2.025467300E+02 2.030467230E+02 2.035457520E+02 2.040457477E+02 2.045460540E+02
 2.050466835E+02 2.055466709E+02 2.060466583E+02 2.065466449E+02 2.070466310E+02
 2.075457195E+02 2.080466321E+02 2.085483172E+02 2.090482674E+02 2.095465486E+02
 2.100465318E+02 2.105465128E+02 2.110456858E+02 2.115281969E+02 2.120480411E+02
 2.125479065E+02 2.130464024E+02 2.135463787E+02 2.140463529E+02 2.145456475E+02
 2.150204280E+02 2.155462811E+02 2.160462369E+02 2.165473212E+02 2.170461711E+02
 2.175461369E+02 2.180456031E+02 2.185455340E+02 2.190460535E+02 2.195467155E+02
 2.200465986E+02 2.205458937E+02 2.210458483E+02 2.215455492E+02 2.220455112E+02
 2.225456655E+02 2.230458058E+02 2.235456574E+02 2.240455355E+02 2.245454779E+02
 2.250454847E+02 2.255454749E+02 2.260453680E+02 2.265452275E+02 2.270444864E+02
 2.275450930E+02 2.280450233E+02 2.285449519E+02 2.290448789E+02 2.295454469E+02
 2.300433196E+02 2.305431067E+02 2.310428964E+02 2.315444896E+02 2.320444094E+02
 2.325452939E+02 2.330452766E+02 2.335452597E+02 2.340440758E+02 2.345439891E+02
 2.350439030E+02 2.355438164E+02 2.360437295E+02 2.365451489E+02 2.370453600E+02
 2.375451020E+02 2.380450807E+02 2.385432994E+02 2.390432132E+02 2.395431297E+02
 2.400430465E+02 2.405449710E+02 2.410453112E+02 2.415442994E+02 2.420427157E+02
 2.425426306E+02 2.430425497E+02 2.435424695E+02 2.440423902E+02 2.445423119E+02
