  100    0 4.600000000E+09
  374    0    0    0    0    0    0    0    0
 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00
 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00
 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00
 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00
 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00
 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00
 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00
 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00
 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00
 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00
 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00
 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00
 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00
 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00
 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00
 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00
 0.000000000E+00 0.000000000E+00 0.000000000E+00 0.000000000E+00
 1.000000078E+00 9.985874783E-01 9.972109935E-01 9.958878710E-01 9.946634557E-01
 9.932516637E-01 9.919386729E-01 9.906292701E-01 9.893251546E-01 9.880255337E-01
 9.867306498E-01 9.854408469E-01 9.841559466E-01 9.828767837E-01 9.816030917E-01
 9.803343229E-01 9.790712528E-01 9.778134320E-01 9.765610426E-01 9.753140302E-01
 9.740721313E-01 9.728353053E-01 9.716039081E-01 9.703777482E-01 9.691568870E-01
 9.679411772E-01 9.667306110E-01 9.655252239E-01 9.643249924E-01 9.631298868E-01
 9.619397712E-01 9.607548688E-01 9.595748526E-01 9.583999358E-01 9.572298473E-01
 9.560646237E-01 9.549042141E-01 9.537485692E-01 9.525975905E-01 9.515212935E-01
 9.503096893E-01 9.491726064E-01 9.480400658E-01 9.469119277E-01 9.457881773E-01
 9.446687557E-01 9.435536032E-01 9.424426291E-01 9.413358394E-01 9.402331222E-01
 9.391344361E-01 9.380397495E-01 9.369489430E-01 9.358619917E-01 9.347788397E-01
 9.336993998E-01 9.326236812E-01 9.315516315E-01 9.304830997E-01 9.294181240E-01
 9.283566568E-01 9.272985703E-01 9.262438492E-01 9.251924443E-01 9.241442673E-01
 9.230993523E-01 9.220576471E-01 9.210190585E-01 9.199835424E-01 9.189511696E-01
 9.179215988E-01 9.168950875E-01 9.158714436E-01 9.148507481E-01 9.138329199E-01
 9.128178597E-01 9.118055691E-01 9.107960122E-01 9.097891540E-01 9.087849606E-01
 9.077833385E-01 9.067843761E-01 9.057880817E-01 9.047943176E-01 9.038029761E-01
 9.028141163E-01 9.018275818E-01 9.008436043E-01 8.998620308E-01 8.988827708E-01
 8.979059934E-01 8.969314317E-01 8.960145105E-01 8.949894159E-01 8.940217953E-01
 8.930564290E-01 8.920932971E-01 8.911323160E-01 8.901737444E-01 8.892172424E-01
 8.882628617E-01 8.873106262E-01 8.863603994E-01 8.854124063E-01 8.844665093E-01
 8.835226310E-01 8.825810096E-01 8.816412249E-01 8.807035488E-01 8.797678927E-01
 8.788342435E-01 8.779025885E-01 8.769728639E-01 8.760451622E-01 8.751194630E-01
 8.741956737E-01 8.732738208E-01 8.723539018E-01 8.714359089E-01 8.705198339E-01
 8.696056305E-01 8.686933685E-01 8.677830054E-01 8.668745506E-01 8.659680251E-01
 8.650633078E-01 8.641604186E-01 8.632594333E-01 8.623602777E-01 8.614629913E-01
 8.605675345E-01 8.596738924E-01 8.587820697E-01 8.578920485E-01 8.570038278E-01
 8.561173951E-01 8.552327455E-01 8.543498317E-01 8.534686915E-01 8.525893115E-01
 8.517116772E-01 8.508358380E-01 8.499616799E-01 8.490892755E-01 8.482185382E-01
 8.473494408E-01 8.464821362E-01 8.456165333E-01 8.447527334E-01 8.438905220E-01
 8.430299937E-01 8.421712012E-01 8.413138664E-01 8.404583043E-01 8.396044482E-01
 8.387522524E-01 8.379018848E-01 8.370530068E-01 8.362058654E-01 8.353602626E-01
 8.345162590E-01 8.336739619E-01 8.328333032E-01 8.319942792E-01 8.311569986E-01
 8.303212429E-01 8.294871058E-01 8.286544523E-01 8.278235318E-01 8.269942102E-01
 8.261664796E-01 8.253403319E-01 8.245157595E-01 8.236929111E-01 8.228713648E-01
 8.220514181E-01 8.212330713E-01 8.204162622E-01 8.196009825E-01 8.187872242E-01
 8.179751714E-01 8.171643071E-01 8.163550002E-01 8.155472501E-01 8.147409833E-01
 8.139361922E-01 8.131328699E-01 8.123312364E-01 8.115307669E-01 8.107316460E-01
 8.099341286E-01 8.091380447E-01 8.083433870E-01 8.075501478E-01 8.067585804E-01
 8.059680788E-01 8.051788638E-01 8.043912196E-01 8.036049536E-01 8.028200572E-01
 8.020365218E-01 8.012546313E-01 8.005305691E-01 7.996939936E-01 7.989158139E-01
 7.981389482E-01 7.973633874E-01 7.965891211E-01 7.958164589E-01 7.950447671E-01
 7.942740123E-01 7.935047829E-01 7.927368202E-01 7.919700815E-01 7.912045536E-01
 7.904402231E-01 7.896774221E-01 7.889153886E-01 7.881546274E-01 7.873949452E-01
 7.866363857E-01 7.858789326E-01 7.851225689E-01 7.843672770E-01 7.836129615E-01
 7.828598363E-01 7.821076474E-01 7.813564529E-01 7.806062323E-01 7.798569637E-01
 7.791086251E-01 7.783611136E-01 7.776146463E-01 7.768689562E-01 7.761240993E-01
 7.753800497E-01 7.746367807E-01 7.738942644E-01 7.731524515E-01 7.724113771E-01
